D_bar,5a18701954208204570dcb8e,5a191ca682c9a804497b7d6d,5a1932ab059ac522ef987ea7,5a1950d504030050aed5ef38,5a19654811ae4222e93bcbb5,5a196870172b442ddd1d0881,5a197a76c988512deb672d77,5a197dd07c73c915f5797cc2,5a1986d282c9a804497b7da5,5a198afc82c9a804497b7da6,5a198cb07c73c915f5797cc5,5a198f20ae845313c72e2c17,5a198fae82c9a804497b7da7,5a19934fb884b12dc5b501ff,5a1993ec11ae4222e93bcbb7,5a1995b8b884b12dc5b50200,5a19964a99ec112dd1215e0e,5a1997ecb0da9122e35a920f,5a1999fe6aa4043eeb298b94,5a199aac99ec112dd1215e0f,5a199bb5c988512deb672d79,5a199bf5c988512deb672d7a,5a199c0b649dcd3edb29ed7a,5a199c0ec988512deb672d7b,5a199c3db884b12dc5b50201,5a199d6204030050aed5ef42,5a199ec16659b21626305b68,5a199f3f99ec112dd1215e10,5a19a0b8ae845313c72e2c18,5a19a1eec988512deb672db9,5a19a27104030050aed5ef44,5a19a29ec988512deb672dba,5a19a2cd99ec112dd1215e11,5a19a35482c9a804497b7da9,5a19a3a199ec112dd1215e12,5a19a48d99ec112dd1215e13,5a19a53311ae4222e93bcbb9,5a19a53c059ac522ef987f06,5a19a545c988512deb672dbb,5a19a549b0da9122e35a9242,5a19a75b649dcd3edb29ed7b,5a19a8f7b0da9122e35a9243,5a19a9106659b21626305bd8,5a19a915649dcd3edb29ed7d,5a19a91654208204570dcbc4,5a19a9b911ae4222e93bcbba,5a19a9e454208204570dcbc5,5a19aa006aa4043eeb298d0d,5a19aa72c988512deb672dbc,5a19aa917c73c915f5797cc6,5a19aaf06aa4043eeb298d0f,5a19ab057c73c915f5797cc7,5a19ab1b6659b21626305d0f,5a19ac1382c9a804497b7e3a,5a19ac3eb0da9122e35a9245,5a19ac52649dcd3edb29ed7f,5a19ac796e5403163f332bf8,5a19acd0172b442ddd1d0884,5a19acd9b884b12dc5b50203,5a19ae366659b21626305d11,5a19aed5ae845313c72e2d20,5a19aef2059ac522ef987f08,5a19aefe04030050aed5ef4a,5a19af076659b21626305d12,5a19af0c99ec112dd1215e15,5a19af6a11ae4222e93bcbbb,5a19afc9172b442ddd1d0885,5a19b0036e5403163f332bfa,5a19b03182c9a804497b7e3b,5a19b08fb0da9122e35a9247,5a19b0d604030050aed5ef4b,5a19b1edae845313c72e2d21,5a19b2b411ae4222e93bcbbc,5a19b2c5ae845313c72e2d22,5a19b2c8c988512deb672dc1,5a19b2e07c73c915f5797cca,5a19b2fb6e5403163f332bfc,5a19b3387c73c915f5797ccb,5a19b36204030050aed5ef4c,5a19b3b5b0da9122e35a9248,5a19b3d754208204570dcbc9,5a19b42882c9a804497b7e3f,5a19b46fb884b12dc5b50205,5a19b47b11ae4222e93bcbbf,5a19b4a6059ac522ef987f0c,5a19b4bc54208204570dcbca,5a19b4dd99ec112dd1215e18,5a19b4e6b0da9122e35a924a,5a19b5016e5403163f332bfd,5a19b51e172b442ddd1d0888,5a19b5c999ec112dd1215e1b,5a19b6226e5403163f332bfe,5a19b63711ae4222e93bcbc0,5a19b6386aa4043eeb298d12,5a19b6506aa4043eeb298d13,5a19b6b811ae4222e93bcbc1,5a19b6c6c988512deb672dc3,5a19b81282c9a804497b7e40,5a19b850b884b12dc5b50206,5a19b857c988512deb672dc4,5a19b87eae845313c72e2d26,5a19b884ae845313c72e2d27,5a19b8d399ec112dd1215e1d,5a19b8e36e5403163f332bff,5a19b92f7c73c915f5797cd0,5a19b93cb884b12dc5b50207,5a19b94b99ec112dd1215e1e,5a19b9746e5403163f332c02,5a19b9a2b0da9122e35a924c,5a19b9c46659b21626305d14,5a19ba3c7c73c915f5797cd1,5a19ba4799ec112dd1215e1f,5a19ba4c04030050aed5ef50,5a19ba4f82c9a804497b7e41,5a19ba4fc988512deb672dc6,5a19ba73059ac522ef987f11,5a19bab0c988512deb672dc7,5a19babc11ae4222e93bcbc3,5a19bafb7c73c915f5797cd2,5a19bb21059ac522ef987f12,5a19bb4054208204570dcbf4,5a19bb4cae845313c72e2d30,5a19bc3354208204570dcbf7,5a19bc4411ae4222e93bcbc4,5a19bc9d6659b21626305d16,5a19bcb304030050aed5ef52,5a19bcfc54208204570dcbf9,5a19bd2004030050aed5ef53,5a19bd466659b21626305d17,5a19bd91ae845313c72e2d31,5a19bdaf6659b21626305d19,5a19bdb854208204570dcbfa,5a19bdf26aa4043eeb298d1e,5a19be1204030050aed5ef54,5a19be4854208204570dcbfb,5a19be6682c9a804497b7e45,5a19bec46659b21626305d1a,5a19bef299ec112dd1215e22,5a19befd99ec112dd1215e23,5a19bf0ec988512deb672dde,5a19bf1811ae4222e93bcbc6,5a19bf3e54208204570dcbfc,5a19bf896e5403163f332c22,5a19bfbe6659b21626305d1b,5a19bfd0b0da9122e35a924f,5a19bfd7b0da9122e35a9250,5a19c03f6659b21626305d1c,5a19c0cdc988512deb672de0,5a19c0d399ec112dd1215e24,5a19c0d754208204570dcbfe,5a19c0deb884b12dc5b5020c,5a19c14db884b12dc5b5020e,5a19c17d99ec112dd1215e27,5a19c181172b442ddd1d08a7,5a19c1b7649dcd3edb29ed8a,5a19c1c67c73c915f5797cd6,5a19c1c7b884b12dc5b50210,5a19c20bc988512deb672de2,5a19c25011ae4222e93bcbc9,5a19c25404030050aed5ef5b,5a19c291649dcd3edb29ed8b,5a19c2ff7c73c915f5797cd7,5a19c30bb884b12dc5b50211,5a19c324c988512deb672de3,5a19c36a54208204570dcbff,5a19c3d2649dcd3edb29ed8c,5a19c403b884b12dc5b50213,5a19c41db884b12dc5b50214,5a19c45cae845313c72e2d32,5a19c495b884b12dc5b50216,5a19c51199ec112dd1215e28,5a19c56804030050aed5ef5d,5a19c5d66e5403163f332c24,5a19c5ebb0da9122e35a9251,5a19c62db884b12dc5b50217,5a19c66404030050aed5ef60,5a19c7bc059ac522ef987f1b,5a19c86eb0da9122e35a9252,5a19c8a8649dcd3edb29ed8d,5a19c8e4ae845313c72e2d33,5a19ca25b884b12dc5b50219,5a19ca6904030050aed5ef63,5a19cadc99ec112dd1215e29,5a19caf054208204570dcc00,5a19cc92ae845313c72e2d34,5a19cccf11ae4222e93bcbd3,5a19ccd26659b21626305d20,5a19cea604030050aed5ef6a,5a19cecb6659b21626305d21,5a19cfab6e5403163f332c28,5a19d0a2059ac522ef987f2c,5a19d146059ac522ef987f2e,5a19d157c988512deb672de8,5a19d19f99ec112dd1215e2b,5a19d20d82c9a804497b7e49,5a19d21099ec112dd1215e2d,5a19d22f649dcd3edb29ed92,5a19d31099ec112dd1215e2e,5a19d33854208204570dcc02,5a19d41911ae4222e93bcbdc,5a19d4a982c9a804497b7e4b,5a19d5f454208204570dcc05,5a19d620b884b12dc5b5022d,5a19d66f059ac522ef987f30,5a19d6f76659b21626305d2b
5a198cb07c73c915f5797cc5,33,31,32,25,23,33,13,20,30,4,0,9,18,14,27,18,18,36,21,29,23,18,23,33,41,9,32,24,28,27,34,15,36,11,22,28,23,20,32,15,31,20,25,17,22,8,9,19,20,37,39,29,34,31,32,21,4,18,37,28,27,23,27,28,17,32,16,19,16,7,5,26,23,39,7,16,17,12,28,14,27,24,35,34,26,20,4,6,35,19,24,25,19,24,28,12,13,32,20,25,25,13,21,28,8,15,6,24,24,3,19,45,20,11,33,20,13,20,7,18,10,19,24,26,32,11,30,11,15,17,39,20,10,17,17,24,28,19,33,12,17,22,41,23,17,13,20,30,13,23,14,37,25,10,22,22,14,38,20,25,12,16,19,29,19,12,22,22,25,7,19,16,25,35,23,17,21,20,19,7,11,10,17,5,22,29,25,18,14,33,11,19,31,13,24,34,16,24,36,31,29,18,12,17,10
5a198f20ae845313c72e2c17,29,26,26,24,16,28,18,16,25,10,7,0,16,16,23,12,11,30,23,31,16,22,18,29,34,14,24,19,21,24,30,13,35,10,17,28,18,14,29,15,26,17,24,12,17,6,2,14,19,33,32,24,32,26,25,22,9,20,32,23,20,18,20,22,14,26,21,24,9,5,10,22,19,35,12,10,12,17,26,7,20,19,32,38,21,16,8,11,29,12,17,21,16,19,21,10,8,27,26,20,20,18,16,24,5,19,10,19,24,8,13,38,15,18,29,16,14,13,12,13,16,21,22,21,29,4,24,5,18,17,38,15,8,10,20,17,21,16,26,5,13,17,35,19,23,18,25,27,11,18,13,36,20,17,19,17,19,34,19,23,17,11,16,26,24,8,18,14,19,5,24,23,18,32,21,12,16,18,22,11,13,7,15,3,18,26,22,13,8,30,16,16,24,18,19,27,13,20,31,24,23,15,7,14,9
5a198fae82c9a804497b7da7,41,38,36,36,26,40,23,27,37,19,18,16,0,28,35,24,15,38,35,43,25,33,30,40,42,19,28,30,29,37,42,7,48,20,28,40,30,15,42,13,38,30,36,14,10,17,15,15,31,45,35,36,44,37,33,35,15,32,44,34,24,30,23,16,27,37,22,34,20,16,16,34,32,47,18,22,24,23,39,20,28,31,44,49,32,27,14,17,39,19,18,34,28,31,28,21,10,20,35,32,31,19,28,35,16,30,16,32,37,13,25,46,27,22,41,28,26,17,17,25,25,34,34,32,41,17,34,17,29,30,51,27,19,21,32,30,34,28,34,18,26,29,42,30,23,24,36,40,24,27,26,48,32,23,32,28,20,46,32,36,22,22,28,38,34,21,30,19,30,16,34,30,26,45,34,24,28,31,33,17,25,19,26,14,30,38,34,24,20,42,17,28,28,19,21,35,26,31,43,27,31,27,9,26,22
5a19934fb884b12dc5b501ff,28,28,32,16,29,30,26,17,27,14,20,17,28,0,19,25,25,36,18,15,28,10,21,30,42,22,36,26,28,22,27,28,24,20,24,15,20,29,27,29,28,15,16,28,33,17,16,30,11,30,43,25,29,29,37,7,18,4,35,26,34,19,31,38,12,36,28,11,23,17,18,25,21,32,21,25,16,26,19,22,28,21,26,22,27,17,17,20,34,24,33,31,13,19,31,22,24,43,15,23,21,26,18,23,17,7,19,26,12,17,26,46,16,21,25,16,6,27,21,17,20,8,19,27,24,19,30,18,10,8,27,16,20,24,9,32,37,13,34,20,24,19,42,20,30,27,11,24,12,23,13,25,22,18,17,18,27,29,11,16,25,17,13,21,10,19,17,28,31,17,10,27,30,30,14,19,18,16,10,20,12,19,26,15,21,23,18,19,23,25,23,17,35,25,35,34,14,21,38,35,30,13,23,15,9
5a1993ec11ae4222e93bcbb7,18,21,26,18,33,23,39,10,20,28,29,23,37,20,0,32,24,25,31,28,29,29,19,23,32,35,28,27,19,20,9,35,17,30,25,17,13,29,25,38,21,14,17,33,35,27,22,35,13,12,36,19,29,23,35,20,30,22,29,20,33,13,24,40,11,37,42,30,26,26,31,25,23,14,33,32,13,38,20,29,19,14,10,37,26,10,29,32,26,23,33,39,12,12,26,31,29,45,34,17,14,40,11,16,27,26,31,30,21,29,33,36,10,37,10,8,17,25,33,15,33,25,20,27,7,26,21,25,27,18,20,10,29,27,27,39,44,13,24,27,31,12,33,13,44,39,30,24,18,14,23,18,15,34,13,11,40,11,12,17,38,17,11,9,29,26,10,27,34,26,29,42,28,29,15,22,11,21,29,32,25,28,36,24,21,19,3,19,30,13,37,19,28,39,41,25,20,14,41,27,20,11,28,17,19
5a1995b8b884b12dc5b50200,31,29,25,29,19,30,26,18,27,20,17,12,26,25,26,0,4,26,31,39,16,31,22,31,30,22,17,22,17,29,32,13,40,19,20,34,20,4,34,20,29,22,29,13,10,15,11,14,24,35,24,26,37,28,23,30,18,29,34,25,13,20,12,15,19,29,28,34,14,15,18,26,25,37,21,19,15,26,32,17,16,22,35,47,24,18,17,20,28,8,8,30,21,22,17,20,9,20,36,22,22,25,18,26,15,28,19,25,32,16,21,35,17,27,32,19,21,6,20,16,25,30,27,24,32,13,23,13,27,24,43,17,17,15,30,27,31,21,22,15,22,19,31,21,30,27,34,32,18,17,22,41,22,27,24,19,26,36,25,29,25,14,20,29,33,17,21,7,23,15,33,32,16,38,27,18,19,25,31,20,22,17,24,13,22,30,25,16,17,34,23,21,16,25,21,23,20,22,36,16,19,19,8,19,18
5a19964a99ec112dd1215e0e,30,27,24,28,19,29,26,16,26,20,17,11,26,24,25,20,0,25,31,38,15,30,20,29,29,22,16,21,16,28,30,14,39,19,19,33,19,6,32,20,27,21,28,13,11,15,11,15,23,33,23,25,36,26,22,29,18,28,33,24,11,19,11,16,18,27,29,33,13,15,18,25,24,35,21,19,14,26,31,16,15,20,33,46,22,16,17,20,26,7,9,30,19,21,15,20,10,21,35,21,21,26,17,25,15,27,19,24,31,17,21,33,16,27,31,17,20,4,21,15,25,29,25,23,30,13,22,13,27,23,41,16,17,14,29,26,31,20,21,14,22,18,29,19,30,27,33,31,17,15,21,39,21,27,22,18,27,34,23,28,25,13,19,28,33,17,19,6,22,14,33,32,14,36,25,17,17,24,31,20,22,17,24,12,21,29,23,15,17,32,24,20,16,26,22,22,19,20,35,15,18,18,9,18,17
5a1997ecb0da9122e35a920f,33,30,26,33,27,32,35,20,29,28,25,19,34,31,27,28,9,0,38,44,22,38,25,33,27,31,9,27,14,32,31,22,42,27,25,37,22,12,37,29,30,26,33,22,14,24,19,23,28,34,17,28,40,30,28,35,26,35,36,27,18,22,5,20,23,34,37,41,21,23,27,30,29,36,30,27,18,34,35,25,14,23,35,53,28,19,26,28,28,13,16,38,24,24,17,28,18,24,43,24,24,34,20,28,23,35,28,31,36,25,29,32,19,36,33,21,27,11,29,20,33,36,31,28,32,21,23,21,34,30,45,19,26,22,36,35,39,25,18,23,30,21,28,22,39,36,41,36,24,17,28,42,24,35,27,21,35,35,28,33,34,18,23,31,40,25,22,13,30,23,40,41,20,41,30,23,20,30,38,29,29,25,32,21,26,33,25,20,25,35,32,26,9,34,30,20,25,23,41,9,16,22,17,24,24
5a1999fe6aa4043eeb298b94,36,36,40,24,36,37,29,25,34,18,24,22,33,10,27,31,32,44,0,20,35,14,28,38,49,25,43,33,36,30,35,32,29,25,32,21,27,35,35,32,36,23,24,33,38,22,22,35,19,38,50,33,37,36,44,13,20,9,43,34,40,27,39,44,20,43,29,4,29,22,21,33,28,40,24,30,24,29,27,28,36,29,33,18,34,25,20,23,42,31,39,37,21,27,38,27,29,48,7,31,29,26,25,31,22,11,22,33,19,20,32,54,24,21,32,23,14,33,24,25,23,15,27,35,31,25,38,24,15,16,32,24,24,30,13,38,42,21,42,26,29,26,50,28,31,30,9,32,19,30,19,29,29,17,24,26,27,36,18,24,28,25,21,28,3,24,25,35,37,22,3,29,37,37,22,26,26,24,14,23,18,24,31,20,29,31,25,27,28,33,24,25,43,26,40,42,21,29,45,42,38,21,28,23,15
5a199aac99ec112dd1215e0f,25,23,26,16,22,25,22,13,22,10,13,9,21,8,18,18,17,30,14,0,21,14,15,25,36,17,29,19,22,19,26,21,27,14,17,19,15,21,24,23,23,12,16,20,25,11,8,23,11,29,36,21,26,23,30,14,13,12,30,21,26,15,24,31,9,29,25,17,15,11,14,19,15,31,16,17,10,21,19,15,22,16,26,30,20,12,12,15,29,17,25,24,10,15,24,15,17,35,20,18,17,22,13,19,11,11,14,19,16,12,19,40,12,19,24,12,5,19,16,11,16,13,16,21,23,12,24,11,11,8,30,12,13,16,13,25,29,10,28,13,16,14,36,15,26,22,17,21,5,17,5,28,17,17,14,14,23,29,11,16,21,11,10,20,17,11,14,21,23,10,17,24,22,26,14,11,13,12,15,15,8,12,20,8,15,20,16,13,15,24,20,11,28,22,28,28,8,16,31,28,24,9,16,9,1
5a199bb5c988512deb672d79,22,21,24,15,21,23,23,10,20,12,14,9,22,9,16,18,16,28,16,23,0,16,13,23,33,19,27,17,20,17,24,21,26,15,15,19,13,20,22,24,21,10,15,20,25,12,8,23,10,27,34,19,24,21,28,14,14,13,27,18,25,13,22,30,7,27,26,19,14,11,15,17,13,29,17,17,8,22,18,15,20,14,24,31,18,10,14,16,26,15,24,24,8,13,22,16,16,35,22,15,15,24,11,17,11,13,16,17,16,14,19,38,10,21,22,10,5,18,18,9,17,14,14,19,22,12,22,11,13,8,29,10,14,15,15,25,29,8,26,13,16,12,34,13,28,24,19,19,3,15,7,27,15,19,12,12,25,27,10,15,22,9,8,18,19,12,12,19,22,11,19,26,21,24,12,10,11,10,17,17,10,13,20,9,13,18,15,11,15,23,21,9,27,23,28,26,5,14,29,26,22,7,16,7,3
5a199bf5c988512deb672d7a,25,26,31,13,30,27,29,15,24,17,21,18,30,5,16,26,25,34,19,14,28,0,19,28,40,25,35,26,27,20,24,30,20,22,24,12,17,29,25,31,26,13,13,29,34,19,17,32,8,27,42,23,27,27,37,5,20,7,33,24,34,17,30,39,10,36,32,14,23,19,21,24,20,29,24,26,14,29,16,24,26,19,23,23,26,15,20,23,32,24,33,33,11,16,30,24,25,44,18,21,19,29,15,20,19,11,22,26,8,20,27,44,14,25,21,13,6,26,24,16,23,10,18,26,20,20,28,19,13,7,23,14,21,24,13,33,38,11,32,22,25,16,40,18,33,30,14,22,12,21,14,21,19,21,14,16,30,26,7,13,28,16,11,17,14,20,15,28,31,19,14,30,29,27,11,19,15,15,14,23,15,21,28,17,20,20,14,18,24,22,27,16,34,29,37,33,14,19,38,34,28,10,24,14,10
5a199c0b649dcd3edb29ed7a,14,16,20,16,28,18,34,5,15,24,24,18,33,18,7,27,18,21,28,28,24,27,0,18,27,30,24,22,14,17,12,30,22,26,20,19,8,24,22,33,16,11,16,28,29,22,18,30,11,15,31,14,26,18,30,19,26,21,24,15,27,8,19,35,8,32,38,29,21,22,26,20,19,17,29,27,8,34,18,24,14,9,15,38,21,5,25,28,21,18,28,35,9,7,21,27,24,39,33,12,9,35,6,11,22,24,27,25,21,25,28,32,4,33,13,4,15,20,29,10,30,23,17,22,12,21,16,20,24,16,24,4,24,22,25,34,39,10,20,22,27,7,28,8,40,35,28,21,14,9,19,22,10,31,10,6,36,16,11,16,33,12,8,11,28,22,6,22,29,22,28,38,23,26,13,18,6,18,27,28,22,23,31,20,16,16,5,14,25,15,33,15,23,35,36,20,16,9,36,23,16,7,23,13,15
5a199c0ec988512deb672d7b,27,26,29,18,24,28,21,16,25,9,13,11,22,6,20,19,20,34,14,21,23,12,18,0,39,16,32,22,26,22,28,22,29,14,20,20,18,23,27,22,26,14,18,22,27,11,10,24,13,31,39,24,28,27,32,13,12,11,33,24,29,18,27,32,11,31,23,14,17,11,13,22,18,33,15,19,13,20,21,16,25,19,28,28,23,15,11,14,32,19,27,26,13,18,27,16,18,37,17,21,20,20,16,22,11,9,13,22,16,11,20,43,15,17,26,15,6,21,15,15,14,12,18,24,26,13,27,12,8,9,31,15,13,18,10,26,31,13,31,14,18,17,39,18,25,21,15,24,8,20,8,29,20,14,16,17,21,31,13,18,20,14,13,22,14,13,17,23,25,11,14,22,25,29,16,14,16,14,12,14,6,13,20,9,18,23,19,16,17,27,18,14,31,20,29,32,11,20,34,31,27,12,17,12,4
5a199c3db884b12dc5b50201,36,34,30,34,24,35,28,23,32,23,20,16,29,29,31,24,9,30,36,43,21,35,27,36,0,24,19,27,21,34,37,13,45,23,25,39,25,7,39,20,34,27,34,15,5,19,15,16,29,40,26,31,42,33,28,35,20,33,39,30,17,25,14,10,24,33,29,37,18,18,20,31,30,42,23,23,20,28,37,20,21,27,40,51,29,23,19,22,33,13,11,34,26,27,21,23,11,15,39,27,27,26,23,31,18,32,21,30,36,18,25,39,22,29,37,24,26,10,22,21,28,34,32,29,37,17,28,17,31,29,48,22,20,19,34,30,35,26,26,18,26,24,35,26,31,29,38,37,23,22,26,46,27,29,29,24,27,41,30,34,27,19,25,34,37,21,26,12,28,18,37,35,21,42,32,22,24,30,35,22,26,20,27,16,27,35,30,21,21,39,24,26,19,26,23,27,25,27,41,18,23,24,10,24,22
5a199d6204030050aed5ef42,38,35,34,32,24,37,16,25,34,13,13,12,22,22,32,20,16,37,29,37,24,27,27,37,42,0,30,28,29,33,39,8,43,15,26,35,27,17,38,7,35,26,32,13,16,11,11,15,27,42,37,33,40,35,33,29,8,26,41,32,25,27,25,21,23,34,15,27,18,11,9,31,28,44,11,18,21,16,34,16,28,28,41,43,30,24,7,10,37,18,21,29,25,28,28,16,9,26,28,29,29,13,25,32,11,24,9,28,32,6,21,46,24,15,38,25,21,18,10,22,18,28,30,30,38,13,33,13,23,24,46,24,13,18,25,26,30,24,34,14,21,26,42,27,17,17,29,36,19,26,21,44,29,16,28,26,13,43,27,31,16,20,24,35,28,16,27,20,27,11,28,23,25,41,29,21,25,27,27,10,19,14,20,9,27,34,31,22,16,39,10,24,30,12,20,35,22,28,40,29,31,23,8,22,17
5a199ec16659b21626305b68,35,33,28,35,27,34,35,22,31,29,26,20,35,32,29,29,10,26,39,46,23,39,27,35,30,31,0,28,17,34,34,21,44,28,26,39,24,12,39,28,33,28,35,22,12,24,20,23,30,37,19,30,42,32,29,37,26,37,38,29,19,24,7,18,25,35,37,42,22,24,27,32,31,39,30,28,20,35,37,25,16,26,37,54,30,22,26,29,30,14,16,38,26,26,19,29,18,23,44,26,26,34,22,30,23,36,28,32,38,25,30,34,21,36,35,23,28,12,29,21,34,37,32,30,35,22,26,22,35,31,47,21,26,23,38,35,40,26,21,23,31,23,30,25,39,36,42,38,25,19,29,45,26,36,29,23,35,38,30,35,34,20,25,33,42,26,25,13,31,23,42,41,22,43,32,25,22,31,39,29,31,25,33,21,28,35,28,22,26,37,32,27,12,34,30,23,27,26,43,11,19,24,17,25,25
5a199f3f99ec112dd1215e10,22,22,27,11,27,24,28,11,21,16,19,15,28,6,13,24,21,31,18,17,25,15,16,24,36,24,31,0,23,16,22,27,21,20,20,13,14,26,22,29,22,10,11,26,31,17,14,29,6,25,38,20,23,23,33,9,19,9,30,20,30,14,27,36,6,32,31,17,20,17,20,20,16,27,22,23,11,27,13,21,23,15,21,27,23,11,18,21,29,20,30,30,7,13,26,22,22,41,21,18,16,28,12,17,17,12,20,23,10,18,25,41,11,24,19,10,4,23,22,12,22,12,14,23,18,18,24,17,13,5,24,11,19,21,14,31,35,7,29,19,22,13,37,14,32,28,17,18,9,17,12,21,16,22,11,13,29,24,5,10,27,13,8,15,16,17,12,25,28,17,16,30,26,24,8,16,12,12,16,22,13,18,26,15,16,17,12,15,21,20,26,12,31,28,34,29,11,15,34,30,25,7,22,11,8
5a19a0b8ae845313c72e2c18,20,18,14,21,23,19,32,7,16,23,21,15,30,20,14,23,12,16,29,32,18,28,14,20,21,28,17,18,0,20,19,24,29,23,16,25,9,17,25,29,18,14,20,23,22,19,14,25,16,22,24,15,29,18,24,24,23,24,24,15,20,9,12,28,11,27,35,31,17,19,24,20,19,24,26,23,7,31,23,21,8,11,22,42,18,7,22,25,15,11,21,32,12,11,13,24,19,32,35,12,11,32,7,15,19,26,24,23,25,22,24,25,6,32,20,8,17,13,26,8,28,26,19,19,19,18,10,16,25,19,32,6,21,18,27,31,35,13,14,19,24,8,22,10,37,32,31,24,14,4,19,29,11,30,14,8,33,23,16,20,31,9,11,18,31,19,10,15,25,19,31,36,17,29,18,15,8,19,29,25,22,20,28,17,16,20,13,11,21,22,30,15,16,32,31,14,16,11,33,16,10,10,18,13,15
5a19a1eec988512deb672db9,27,27,31,15,28,28,26,16,25,14,19,15,27,1,18,24,24,35,16,16,27,10,19,29,40,22,34,25,27,0,26,27,24,19,23,15,18,28,26,28,27,14,15,27,32,16,15,29,10,30,42,24,28,27,36,8,17,6,34,24,32,18,30,37,11,35,28,12,21,16,18,24,19,32,20,24,15,25,18,21,27,20,26,24,26,16,16,19,33,23,31,30,12,18,30,21,23,42,16,22,20,25,16,22,16,7,18,25,12,16,25,45,15,21,24,14,5,25,20,16,19,7,18,26,23,18,28,17,9,7,27,15,18,22,9,31,35,12,33,19,22,17,41,19,30,26,12,23,10,21,11,25,20,18,15,17,26,29,10,15,25,16,12,20,12,18,16,27,29,16,12,27,28,28,13,17,16,15,11,19,11,18,25,14,20,22,17,18,21,24,23,16,34,25,34,33,13,20,37,34,29,12,22,14,7
5a19a27104030050aed5ef44,14,14,18,16,25,15,32,3,12,22,22,16,31,17,8,25,16,20,26,28,22,25,12,16,26,28,22,19,13,15,0,27,23,23,17,19,5,22,20,31,14,10,15,26,27,20,15,28,11,18,30,11,24,16,28,19,23,20,22,13,25,5,18,32,6,29,36,28,19,20,24,18,17,20,27,25,6,32,18,22,13,7,17,37,19,3,23,26,19,15,25,32,8,6,19,24,22,37,31,10,7,33,3,10,20,22,25,23,20,23,25,31,2,31,15,2,13,18,27,8,27,22,15,19,14,19,15,18,23,15,26,2,22,20,24,32,36,8,19,20,25,4,27,6,37,33,27,20,12,7,17,24,7,29,9,4,34,19,11,15,31,9,7,12,27,20,4,20,27,19,27,36,21,25,13,15,4,16,26,26,20,21,29,17,14,15,7,11,22,16,31,13,22,33,34,19,14,7,33,22,15,6,21,11,14
5a19a29ec988512deb672dba,40,37,36,34,26,39,19,27,36,16,16,14,25,25,34,23,17,38,32,40,25,30,29,39,43,15,30,29,30,35,41,0,46,18,27,38,29,17,40,9,37,28,34,14,14,14,13,15,29,44,37,35,43,37,34,32,11,29,43,34,26,29,25,19,25,36,17,30,19,14,12,33,30,46,14,20,23,19,37,18,29,30,43,46,31,26,10,13,39,19,20,32,27,30,29,19,10,24,30,31,31,15,27,34,14,27,12,30,34,9,24,47,26,18,40,27,24,18,13,24,21,31,32,32,40,15,34,16,26,27,49,26,16,20,28,28,32,27,35,16,24,28,43,29,19,20,32,38,22,28,23,46,31,19,30,28,16,45,30,34,19,22,27,37,31,19,29,20,29,13,31,26,26,43,32,23,27,29,30,13,22,16,23,12,29,37,33,24,18,41,13,27,30,14,20,35,24,30,42,29,31,26,9,25,19
5a19a2cd99ec112dd1215e11,26,28,34,17,37,30,38,18,27,27,30,26,39,14,14,34,31,36,28,20,35,23,24,30,42,34,38,32,29,24,21,38,0,31,30,9,20,36,29,40,28,17,16,37,41,28,25,39,12,24,46,26,31,30,42,12,30,15,36,27,40,20,34,46,14,42,41,22,30,28,30,29,26,26,33,34,19,38,19,32,29,21,18,26,32,17,29,32,35,30,39,41,15,19,34,32,33,51,25,24,22,38,18,23,28,20,31,33,15,29,35,47,17,34,19,15,15,32,33,21,32,20,23,32,15,28,31,27,23,16,14,17,30,31,22,42,46,15,35,30,33,19,43,20,43,39,22,26,19,23,22,11,22,31,17,19,39,20,10,17,37,22,15,15,21,28,17,34,38,27,21,40,35,32,14,26,18,22,24,32,24,29,37,25,25,23,12,24,32,20,36,22,38,38,45,35,21,21,44,37,31,14,32,20,18
5a19a35482c9a804497b7da9,27,26,28,18,23,28,20,15,25,8,12,9,20,8,20,18,18,33,15,23,22,13,18,28,38,15,30,21,25,21,28,20,29,0,19,21,18,22,26,21,26,14,18,20,26,10,9,23,13,31,38,24,28,26,31,14,11,12,32,23,27,18,26,31,11,30,22,16,16,10,12,22,17,33,14,17,13,19,21,15,24,19,29,29,22,15,10,13,31,18,26,24,13,18,26,14,16,36,18,20,19,20,16,22,10,10,12,20,17,10,19,42,14,17,26,15,6,20,14,14,13,13,18,23,26,12,26,11,10,10,32,14,12,17,12,25,29,12,30,13,16,17,38,18,24,20,16,23,8,19,7,30,20,14,16,16,21,31,13,18,19,13,13,22,16,11,16,22,24,9,16,21,24,29,16,13,16,14,14,13,5,11,19,7,18,23,19,15,15,27,18,14,30,19,27,31,10,19,32,30,26,12,15,12,3
