D_bar,5a0ebeddfdc81513a9dcf33d,5a0ee1c397e0bc4831663486,5a0eeec3ae845313c72e280a,5a0ef92e0525bc484398d1f8,5a0eff8948c5984825e18bba,5a0f05b3bcb30313c1318d8e,5a0f0c5348c5984825e18bbb,5a0f0e693feafb4f684d1abb,5a0f100fe691ef1af5572637,5a0f12dc0525bc484398d1fb,5a0f14601c156e483dc740c8,5a0f169bc31f3448494eb6f7,5a0f178632516b13bbf49e3f,5a0f17acd6c58c139daa8a50,5a0f187c1c067a1ae7e6733c,5a0f192a48c5984825e18bca,5a0f19b9d6c58c139daa8a51,5a0f1aa832516b13bbf49e41,5a0f1ae71c067a1ae7e6733d,5a0f1af0fdc81513a9dcf349,5a0f1b04bcb30313c1318d90,5a0f1bcb48c5984825e18bcc,5a0f1c2a0525bc484398d1fc,5a0f1c61fdc81513a9dcf34a,5a0f1c8348c5984825e18bcd,5a0f1cabbcb30313c1318d91,5a0f1e361c067a1ae7e6733e,5a0f1edc1c156e483dc740c9,5a0f1fcd1c067a1ae7e6733f,5a0f202bc31f3448494eb6f9,5a0f215be691ef1af5572639,5a0f21641c156e483dc740ca,5a0f21686d59381b0f22075a,5a0f216e6d59381b0f22075b,5a0f21990525bc484398d1fd,5a0f225c5c4f9a48378c2db3,5a0f22912c520b484f1b87fc,5a0f22c93feafb4f684d1ac1,5a0f2391ae845313c72e2811,5a0f24065c4f9a48378c2db4,5a0f241432516b13bbf49e42,5a0f24a097e0bc483166348f,5a0f25093feafb4f684d1ac2,5a0f2514e691ef1af557263b,5a0f259a0525bc484398d200,5a0f25eb32516b13bbf49e44,5a0f25efbcb30313c1318d97,5a0f2610d6c58c139daa8a53,5a0f2681e691ef1af557263c,5a0f269a48c5984825e18bd0,5a0f26cb3feafb4f684d1ac7,5a0f270efdc81513a9dcf34c,5a0f274f97e0bc4831663490,5a0f2755e691ef1af557263e,5a0f27bdbcb30313c1318d9a,5a0f27efe691ef1af557263f,5a0f283332516b13bbf49e45,5a0f2857fdc81513a9dcf34d,5a0f2895ae845313c72e2812,5a0f2897e691ef1af5572640,5a0f292148c5984825e18bd1,5a0f29330525bc484398d202,5a0f29b50525bc484398d204,5a0f29b697e0bc4831663491,5a0f29b80525bc484398d205,5a0f2a3cd6c58c139daa8a54,5a0f2a521c156e483dc740cc,5a0f2a882c520b484f1b87ff,5a0f2b071c067a1ae7e67341,5a0f2b2448c5984825e18bd4,5a0f2b636d59381b0f22075c,5a0f2b73d6c58c139daa8a56,5a0f2ba56d59381b0f22075d,5a0f2ba71c156e483dc740cd,5a0f2bd1fdc81513a9dcf34f,5a0f2c131c156e483dc740ce,5a0f2c42e691ef1af5572643,5a0f2c4397e0bc4831663492,5a0f2c4a97e0bc4831663493,5a0f2c8dbcb30313c1318d9e,5a0f2c8e97e0bc4831663495,5a0f2cdcd6c58c139daa8a57,5a0f2d141c067a1ae7e67343,5a0f2d4c5c4f9a48378c2db7,5a0f2d811c156e483dc740cf,5a0f2da4ae845313c72e2816,5a0f2dcfae845313c72e2817,5a0f2dfee691ef1af5572645,5a0f2e3497e0bc4831663497,5a0f2e4f3feafb4f684d1aca,5a0f2e83bcb30313c1318d9f,5a0f2f075c4f9a48378c2db9,5a0f2f15bcb30313c1318da0,5a0f2f2f32516b13bbf49e49,5a0f2f491c067a1ae7e67344,5a0f2f4b0525bc484398d207,5a0f2f602c520b484f1b8801,5a0f3089e691ef1af5572648,5a0f308ee691ef1af5572649,5a0f30adae845313c72e281c,5a0f30c33feafb4f684d1acd,5a0f30d1e691ef1af557264b,5a0f30df0525bc484398d208,5a0f3106ae845313c72e281d,5a0f314aae845313c72e281e,5a0f3161ae845313c72e281f,5a0f316bc31f3448494eb6fe,5a0f3195e691ef1af557264c,5a0f320e5c4f9a48378c2dba,5a0f322eeca4fc22e027a312,5a0f331cae845313c72e2821,5a0f33b299ec112dd1215692,5a0f33b293984022d41562d0,5a0f33dbb0da9122e35a8d45,5a0f33e40525bc484398d209,5a0f33fda7e49c22d705f640,5a0f3400b546e022c2fa61d6,5a0f3442eca4fc22e027a313,5a0f344e059ac522ef987c4d,5a0f350e17153722f5634d3c,5a0f3512b884b12dc5b4fbcb,5a0f3532d442ff22bc769147,5a0f354fae845313c72e2822,5a0f35fca7e49c22d705f641,5a0f368b172b442ddd1d05ea,5a0f36d6172b442ddd1d05eb,5a0f371ae691ef1af557264f,5a0f379b51fd882301b6d13c,5a0f37ca51fd882301b6d13d,5a0f3830059ac522ef987c4f,5a0f383332516b13bbf49e4d,5a0f38b4ae845313c72e2823,5a0f3931c988512deb672b83,5a0f39c817153722f5634d3d,5a0f3a584b4fc722fbe1c726,5a0f3a94172b442ddd1d05ed,5a0f3b5db884b12dc5b4fbcc,5a0f3ba9a7e49c22d705f646,5a0f3bad51fd882301b6d13e,5a0f3c3f172b442ddd1d05ee,5a0f3cbdae845313c72e2826,5a0f3d2b99ec112dd1215696,5a0f3d4c99ec112dd1215697,5a0f3d5a172b442ddd1d05ef,5a0f3d7bc988512deb672b87,5a0f3d9b4b4fc722fbe1c727,5a0f3e4bc988512deb672b89,5a0f3e7432516b13bbf49e52,5a0f3e8251fd882301b6d140,5a0f3e8e51fd882301b6d141,5a0f3e8e4b4fc722fbe1c728,5a0f3ec3e691ef1af5572653,5a0f3ed417153722f5634d40,5a0f3f1cf160552db93e65b4,5a0f3f62a7e49c22d705f649,5a0f3f7d4b4fc722fbe1c72b,5a0f3fd0ae845313c72e2827,5a0f4029172b442ddd1d05f1,5a0f40b4c988512deb672b8b,5a0f40bc17153722f5634d41,5a0f40c7c988512deb672b8c,5a0f4107f160552db93e65b5,5a0f41e9f160552db93e65b6,5a0f421b32516b13bbf49e54,5a0f423c172b442ddd1d05f2,5a0f433d32516b13bbf49ea9,5a0f437232516b13bbf49eaa,5a0f439517153722f5634d42,5a0f44d832516b13bbf49eab,5a0f44dd51fd882301b6d147,5a0f4653ae845313c72e282a,5a0f4694f160552db93e65b9,5a0f47f1b884b12dc5b4fbcf,5a0f482bb0da9122e35a8d4a,5a0f486d11ae4222e93bc463,5a0f489a263abd22dd1e3aec,5a0f49bba7e49c22d705f681,5a0f4e10ae845313c72e282e,5a0f4ef1263abd22dd1e3af2
5a0f14601c156e483dc740c8,27,13,18,20,24,17,32,25,11,12,0,14,18,13,32,10,24,15,14,21,14,30,16,15,24,32,28,8,20,28,7,25,18,18,33,10,20,27,26,15,29,18,10,21,23,13,24,12,8,20,16,29,18,16,32,12,20,13,23,12,11,20,20,12,23,9,18,13,22,17,8,23,26,13,6,30,18,29,14,13,28,23,25,21,41,15,15,10,20,23,16,25,10,33,25,7,26,24,39,23,17,17,30,14,15,27,19,27,27,28,17,15,12,19,6,10,18,17,16,14,16,14,12,16,3,26,19,15,11,10,18,25,11,7,25,25,21,14,5,7,28,10,12,10,14,11,25,10,23,32,13,16,19,11,20,21,24,27,15,15,19,25,21,18,13,23,21,21,17,29,27,22,28,18,19,8,21,28,13
5a0f169bc31f3448494eb6f7,18,16,30,30,26,18,35,28,10,11,16,0,18,19,20,12,23,16,27,16,28,28,19,27,26,21,27,10,22,20,19,26,23,17,42,12,8,28,23,12,25,22,12,28,14,8,12,14,15,10,17,16,29,18,36,14,22,15,25,11,20,28,16,15,25,8,26,16,26,11,16,27,29,21,10,17,19,18,23,16,29,9,38,11,44,9,13,9,23,27,22,17,11,24,14,19,15,20,41,20,19,15,32,13,17,30,23,30,23,22,19,18,14,24,18,13,26,19,7,16,13,16,5,22,16,13,8,21,10,13,11,16,9,21,22,28,34,16,14,19,17,22,15,11,8,13,34,11,21,26,22,26,28,14,21,25,11,20,24,21,32,20,13,23,6,16,13,33,8,18,16,19,32,26,23,7,8,22,16
5a0f178632516b13bbf49e3f,35,27,25,17,36,29,18,40,20,21,15,19,0,27,37,22,34,7,25,21,24,40,21,18,38,33,38,20,12,37,13,39,20,28,25,22,19,19,18,27,34,4,22,35,23,23,22,23,23,21,13,33,25,28,18,24,34,18,35,21,8,17,14,17,8,18,21,24,8,27,15,9,40,10,12,35,10,24,12,24,20,27,35,20,26,25,25,19,34,9,12,28,22,41,21,17,21,16,24,16,30,27,36,24,7,15,5,12,19,21,16,29,24,12,15,24,33,9,16,19,8,6,18,13,16,29,20,9,20,24,17,22,21,20,17,40,32,6,15,20,23,18,12,22,24,24,22,22,33,23,10,13,16,25,11,7,28,21,12,12,30,17,30,4,17,23,20,24,25,25,23,14,14,23,32,18,24,21,27
5a0f17acd6c58c139daa8a50,25,6,30,32,25,19,44,13,15,16,15,20,28,0,30,12,27,26,19,29,20,33,25,26,12,37,31,9,31,26,19,13,29,21,45,11,24,38,35,11,35,30,12,20,28,11,29,17,7,26,26,30,30,18,44,14,7,22,24,16,24,32,29,21,34,14,30,19,34,15,20,35,20,25,16,28,29,34,26,18,39,24,30,27,53,13,18,14,13,35,28,30,11,31,30,20,31,33,51,32,13,20,39,19,27,38,31,39,36,36,28,9,14,31,18,4,11,28,22,23,26,25,16,28,14,29,24,27,15,4,25,32,14,16,34,13,25,25,16,19,33,22,23,11,12,4,37,11,25,40,25,28,31,5,31,33,26,35,28,27,24,34,15,31,19,30,28,31,15,35,32,32,41,30,19,13,23,36,7
5a0f187c1c067a1ae7e6733c,18,18,32,32,28,21,36,30,12,13,18,11,20,21,0,14,25,18,30,18,30,30,21,30,27,21,29,12,23,21,21,27,25,19,43,14,7,30,23,14,27,24,14,30,14,9,11,17,18,10,19,14,32,20,37,16,23,17,27,13,22,30,17,17,26,10,29,18,27,13,18,28,31,23,13,15,21,16,25,18,31,7,41,11,45,11,16,11,25,29,24,18,13,24,13,22,13,21,42,20,21,18,34,16,18,31,24,32,24,21,21,20,16,26,20,15,28,20,7,18,14,17,8,24,19,11,8,23,12,15,11,16,11,23,22,29,36,17,16,21,15,24,17,13,10,15,36,13,24,26,24,29,30,16,22,26,9,20,26,23,35,19,13,24,8,17,14,36,8,17,14,20,33,28,25,10,5,21,18
5a0f192a48c5984825e18bca,22,5,26,28,19,13,39,19,9,10,11,14,23,8,27,0,22,20,19,23,19,27,20,23,17,32,26,4,26,22,15,17,24,16,41,5,19,32,30,8,30,25,6,18,23,7,23,12,5,20,21,26,26,12,39,8,12,16,19,10,19,28,23,16,29,9,25,13,29,11,15,30,18,20,11,25,23,29,22,13,33,20,29,22,48,9,12,8,12,30,23,25,5,27,25,15,26,27,45,27,9,14,34,13,21,33,26,33,31,31,22,7,8,26,14,3,15,23,17,17,20,20,11,23,10,24,19,22,9,3,20,26,8,13,29,18,25,20,11,15,28,18,17,5,8,3,33,5,19,35,21,24,27,4,25,28,21,29,23,22,23,28,14,25,13,24,23,29,12,29,27,26,35,25,14,7,18,31,6
5a0f19b9d6c58c139daa8a51,25,14,39,41,31,25,51,17,20,21,24,24,34,17,26,18,0,32,29,33,31,38,32,35,14,39,36,16,37,26,28,14,36,26,54,18,25,44,40,13,40,37,18,29,31,13,29,24,17,28,32,30,39,24,52,20,12,28,31,21,32,40,33,28,41,19,38,25,41,17,28,42,27,33,23,23,35,35,34,25,45,24,40,29,60,15,23,19,21,42,36,34,17,31,31,28,31,37,57,37,20,25,45,24,33,45,38,46,41,39,34,16,20,38,27,12,21,34,25,29,30,31,20,35,23,29,26,35,20,12,29,34,18,26,39,18,36,31,24,28,34,31,29,17,13,12,46,17,30,44,34,37,40,13,37,40,25,38,36,35,34,37,12,38,23,33,31,41,15,35,33,36,48,37,27,18,22,40,14
5a0f1aa832516b13bbf49e41,33,25,25,18,34,28,19,39,18,19,15,17,10,26,35,20,32,0,25,19,25,38,19,19,37,31,37,19,10,35,13,37,19,27,27,20,17,17,16,25,32,6,21,34,21,21,20,21,22,18,11,31,25,27,20,23,33,17,33,20,9,18,12,15,9,16,21,23,10,25,14,11,38,11,11,33,8,22,12,22,18,24,35,18,28,23,23,18,32,11,12,26,20,39,19,16,19,14,25,14,29,25,34,22,5,14,7,14,17,19,14,28,23,12,15,23,32,7,13,18,6,4,16,13,16,27,18,9,18,23,14,20,19,20,15,38,32,4,14,19,21,17,11,20,22,23,23,20,31,21,11,15,17,24,9,9,26,19,12,11,30,15,28,7,15,21,18,25,23,23,21,12,16,22,31,16,22,19,26
5a0f1ae71c067a1ae7e6733d,36,18,24,20,32,26,38,28,20,21,11,24,26,16,42,19,33,23,0,31,5,39,25,12,28,42,38,17,28,37,11,28,27,28,33,18,30,35,35,23,39,23,19,26,33,22,34,22,13,30,25,39,23,25,36,21,23,23,32,22,15,24,29,21,28,19,25,23,27,25,17,28,32,17,16,39,26,39,18,23,36,33,15,31,45,24,25,20,25,28,23,35,18,42,35,15,36,33,44,32,24,27,40,24,23,34,24,32,36,38,26,21,21,26,13,16,17,25,26,24,25,22,22,22,9,36,29,22,20,15,28,35,20,8,34,29,11,22,14,17,38,16,21,18,22,16,29,18,32,41,17,16,23,17,28,26,34,36,19,22,9,34,28,24,23,33,31,18,26,39,37,31,33,26,26,18,31,38,19
5a0f1af0fdc81513a9dcf349,21,9,24,26,18,11,36,22,6,7,9,11,19,11,26,4,18,17,20,0,20,24,16,22,20,28,22,2,22,21,14,21,21,12,39,4,16,29,26,9,26,22,4,20,19,6,20,8,7,17,17,23,24,10,36,6,16,13,17,7,17,25,19,12,26,5,23,10,26,10,12,27,22,18,8,23,20,26,19,9,30,17,30,18,45,8,9,5,16,27,20,21,3,26,22,14,22,24,42,23,12,11,30,9,18,30,23,30,27,27,19,11,6,23,12,6,18,19,13,14,16,16,7,20,9,21,15,19,6,6,16,22,5,13,25,22,26,16,8,13,24,16,14,3,7,6,30,3,16,31,18,23,24,7,22,25,19,25,21,19,24,25,14,22,10,21,19,28,11,26,24,22,32,22,15,3,16,27,9
