D_bar,592154c454a00b21b809f5ad,592154ce2a17d821bca95123,592180352a17d821bca95141,59218b532a17d821bca9514c,592197a82a17d821bca95153,5921a1012a17d821bca95155,5921ae2d2a17d821bca95158,5921ae8f2a17d821bca95159,5921b02d2a17d821bca9515a,5921b66a2a17d821bca9515c,5921b8a7f315d421c066f616,5921bb8c2a17d821bca95160,5921bbea2a17d821bca95161,5921bd93f315d421c066f617,5921be022a17d821bca95162,5921be559559d121c272315e,5921be9c2a17d821bca95163,5921bf282a17d821bca95164,5921bfd82a17d821bca95165,5921c02cf315d421c066f618,5921c0472a17d821bca95167,5921c0f12a17d821bca95168,5921c1622a17d821bca95169,5921c2e9f315d421c066f619,5921c30b9559d121c2723160,5921c3919559d121c2723161,5921c3dc2a17d821bca9516b,5921c3fd2a17d821bca9516d,5921c4f52a17d821bca9516e,5921c5b3f315d421c066f61a,5921c5c82a17d821bca95171,5921c6b32a17d821bca95173,5921c6dff315d421c066f61b,5921c72f2a17d821bca95176,5921c73c2a17d821bca95177,5921c80c2a17d821bca95179,5921c8a0f315d421c066f61c,5921c92e2a17d821bca9517a,5921ca4b2a17d821bca9517b,5921cb3c9559d121c2723162,5921cb3e54a00b21b809f5b0,5921cb412a17d821bca9517e,5921cb842a17d821bca9517f,5921cb852a17d821bca95180,5921cbf8f315d421c066f61d,5921cc179559d121c2723163,5921cd0b2a17d821bca95181,5921cd432a17d821bca95182,5921cdfef315d421c066f61e,5921ce832a17d821bca95185,5921cec52a17d821bca95186,5921cee72a17d821bca95187,5921cef12a17d821bca95188,5921cf08f315d421c066f61f,5921cf0c9559d121c2723164,5921cf422a17d821bca95189,5921cf449559d121c2723165,5921cfc22a17d821bca9518b,5921cfc29559d121c2723166,5921cff82a17d821bca9518c,5921d04af315d421c066f620,5921d08a2a17d821bca9518e,5921d08c2a17d821bca9518f,5921d0a02a17d821bca95190,5921d0d82a17d821bca95191,5921d0ff2a17d821bca95192,5921d11e2a17d821bca95193,5921d17b2a17d821bca95197,5921d1822a17d821bca95198,5921d1992a17d821bca9519a,5921d2212a17d821bca9519b,5921d23c2a17d821bca9519c,5921d23df315d421c066f621,5921d2432a17d821bca9519d,5921d272f315d421c066f622,5921d342f315d421c066f623,5921d36e9559d121c2723167,5921d3789559d121c2723168,5921d37ef315d421c066f624,5921d37f9559d121c2723169,5921d3fd2a17d821bca951a0,5921d41c2a17d821bca951a2,5921d4239559d121c272316a,5921d462f315d421c066f626,5921d48d2a17d821bca951a3,5921d4d79559d121c272316b,5921d4eb2a17d821bca951a5,5921d4f9f315d421c066f627,5921d50054a00b21b809f5b1,5921d50e2a17d821bca951a6,5921d5262a17d821bca951a8,5921d5262a17d821bca951a9,5921d5a9f315d421c066f628,5921d5d7f315d421c066f62a,5921d5ea81b64321ba87b94d,5921d6039559d121c272316c,5921d6512a17d821bca951ac,5921d6bc2a17d821bca951af,5921d7002a17d821bca951b0,5921d7189559d121c272316d,5921d771f315d421c066f62c,5921d80af315d421c066f62e,5921d80e2a17d821bca951b6,5921d8392a17d821bca951b7,5921d86d9559d121c272316e,5921d899f315d421c066f62f,5921d8ae9559d121c272316f,5921d9872a17d821bca951b8,5921d9a42a17d821bca951b9,5921d9ac2a17d821bca951bb,5921d9e19559d121c2723171,5921da7a2a17d821bca951be,5921dac79559d121c2723172,5921dade2a17d821bca951bf,5921db0e2a17d821bca951c1,5921db672a17d821bca951c3,5921db742a17d821bca951c4,5921db942a17d821bca951c6,5921dbaf2a17d821bca951c7,5921dbb754a00b21b809f5b2,5921dc022a17d821bca951c8,5921dc1cf315d421c066f635,5921dc212a17d821bca951c9,5921dc312a17d821bca951ca,5921dc6d2a17d821bca951cc,5921dc772a17d821bca951cd,5921dceaf315d421c066f636,5921dd099559d121c2723174,5921dd0c2a17d821bca951ce,5921dd452a17d821bca951cf,5921dd6f2a17d821bca951d0,5921ddb5f315d421c066f637,5921ddf52a17d821bca951d1,5921de1bf315d421c066f638,5921de3a9559d121c2723175,5921de412a17d821bca951d2,5921de4ff315d421c066f63a,5921de902a17d821bca951d3,5921ded12a17d821bca951d5,5921e3e29559d121c2723176,5921e4ee2a17d821bca951dc,5921e4f8f315d421c066f63b,5921e5032a17d821bca951dd,5921e51a9559d121c2723177,5921e5692a17d821bca951de,5921e5882a17d821bca951df,5921e5df2a17d821bca951e0,5921e5ec2a17d821bca951e1,5921e6462a17d821bca951e2,5921e6aa2a17d821bca951e4,5921e6f254a00b21b809f5b5,5921e6f79559d121c2723179,5921e74bf315d421c066f63e,5921e75a2a17d821bca951e8,5921e77af315d421c066f63f,5921e782f315d421c066f640,5921e8512a17d821bca951ec,5921e8969559d121c272317a,5921e89c2a17d821bca951ed,5921e9462a17d821bca951ef,5921e9829559d121c272317b,5921e9f42a17d821bca951f1,5921ea022a17d821bca951f3,5921ea192a17d821bca951f4,5921eaa254a00b21b809f5b6,5921eb6af315d421c066f642,5921ec152a17d821bca951f9,5921ed602a17d821bca951fa,5921eeb32a17d821bca951fb,5921eeb42a17d821bca951fc,5921f0412a17d821bca951fd,5921f1762a17d821bca951ff,5921f2212a17d821bca95200,5921f2592a17d821bca95201,5921f335f315d421c066f644
5921b8a7f315d421c066f616,14,15,17,13,16,15,17,21,34,25,0,18,25,33,16,11,32,15,24,23,18,43,16,13,20,22,9,28,18,8,16,22,15,32,29,18,22,16,15,33,24,11,15,20,10,7,24,13,17,18,30,20,4,9,30,31,12,36,11,10,26,22,16,19,9,22,17,8,15,27,17,28,35,25,17,23,22,10,22,30,24,25,18,20,16,19,11,3,25,37,30,12,22,11,6,11,26,21,26,17,20,17,12,13,15,25,21,22,23,10,11,8,19,27,7,15,27,17,20,15,21,19,21,21,25,16,14,6,25,19,11,6,23,24,22,27,11,23,19,15,16,11,5,16,10,20,8,19,11,9,12,16,19,17,32,15,8,23,10,18,18,11,11,11,18,15,28,19,17,5,17,22,28,13,19
5921bb8c2a17d821bca95160,23,23,4,14,25,30,7,7,22,22,14,0,36,19,17,19,30,29,36,31,15,30,14,21,23,24,10,17,27,18,26,20,23,31,23,5,33,27,23,22,10,15,23,9,8,12,20,23,18,5,16,7,16,17,19,20,26,23,9,20,14,30,15,20,14,8,4,16,23,24,16,16,32,33,16,10,9,19,11,27,33,14,31,16,2,6,14,12,19,23,27,22,31,7,15,17,12,15,13,3,8,3,21,27,16,22,10,33,19,20,15,18,31,14,18,24,23,5,7,10,10,11,10,10,14,26,20,16,11,5,25,20,16,17,11,19,14,10,7,25,7,12,19,4,14,31,17,20,21,18,13,18,20,27,20,5,13,32,21,4,13,17,17,17,27,25,23,6,5,13,5,11,16,19,7
5921bbea2a17d821bca95161,29,31,39,36,23,32,39,43,54,33,32,37,0,55,37,26,38,29,38,38,31,61,37,28,41,42,32,46,38,26,23,43,31,38,48,40,19,13,29,51,46,33,21,38,30,30,47,33,40,40,51,42,26,29,48,51,28,54,32,30,47,44,32,42,32,44,39,28,35,35,33,48,41,38,33,45,42,32,42,38,31,45,22,43,37,41,34,26,48,57,38,32,42,33,22,30,47,37,48,38,40,39,34,29,38,32,39,18,42,29,34,27,32,49,18,22,45,39,42,35,39,40,39,39,45,36,23,25,45,41,24,23,38,47,40,50,34,45,40,22,38,34,21,37,32,16,24,42,30,30,35,39,42,24,53,36,30,39,21,39,35,30,30,30,39,35,46,39,37,27,37,40,46,32,39
5921bd93f315d421c066f617,30,31,16,17,33,32,19,19,36,36,21,25,43,0,26,27,43,32,31,39,28,42,24,29,10,12,13,32,33,24,34,30,31,44,36,17,40,34,32,37,22,20,32,23,18,15,29,30,21,16,27,19,21,24,33,34,28,35,20,26,28,35,26,21,14,20,15,23,30,38,28,30,46,41,28,21,23,24,25,41,41,28,35,25,14,18,15,17,13,34,41,19,37,16,22,26,24,28,24,15,23,15,26,29,18,36,24,40,31,26,20,24,26,26,25,32,35,17,18,21,24,23,24,24,28,32,29,22,22,17,28,21,30,12,25,14,15,21,20,32,19,12,21,18,21,38,25,23,27,24,16,19,23,34,34,16,19,40,27,16,27,26,26,26,25,31,36,21,19,19,19,25,30,27,21
5921be022a17d821bca95162,24,25,6,13,27,29,9,9,26,26,15,16,37,20,0,20,33,29,34,33,18,33,16,22,19,20,9,21,27,19,27,22,25,34,26,7,34,29,25,26,12,14,25,13,9,11,21,24,17,6,18,9,16,18,22,24,26,26,11,21,18,30,17,18,12,10,5,17,24,28,19,20,36,34,19,11,13,19,15,31,35,18,31,17,4,8,12,12,15,25,31,20,31,8,16,19,15,18,14,5,12,5,21,26,14,26,14,34,22,20,15,18,28,16,19,26,25,7,8,12,14,14,14,14,18,27,22,16,14,7,25,19,20,13,14,16,12,11,10,26,9,9,18,8,15,32,19,19,21,18,12,16,19,28,24,7,13,33,22,6,17,19,19,19,25,26,26,10,9,13,9,15,20,20,11
5921be559559d121c272315e,13,14,19,16,14,14,19,23,35,25,12,19,23,35,18,0,31,13,25,23,18,45,18,12,22,24,11,29,19,8,14,24,14,31,30,20,20,14,14,34,26,13,14,21,11,9,26,14,19,20,32,22,6,9,31,33,11,38,13,11,28,24,16,21,12,24,19,8,16,26,17,29,34,24,17,25,24,11,24,30,22,27,15,22,18,21,13,5,27,38,30,13,23,13,5,12,28,22,28,18,21,19,14,11,17,24,23,20,24,10,13,8,19,29,5,13,28,19,22,16,22,21,22,22,26,16,12,6,27,21,9,5,23,26,23,29,14,25,20,13,18,13,3,18,12,18,8,21,11,10,15,18,21,15,34,16,10,23,8,20,19,12,12,12,20,16,29,20,18,6,19,23,29,14,21
5921be9c2a17d821bca95163,27,27,20,28,26,37,22,24,32,7,24,18,35,33,26,23,0,35,47,35,10,28,23,25,38,39,23,19,34,24,27,29,27,17,29,21,32,26,25,24,27,26,21,10,16,24,33,30,31,21,29,23,23,24,21,29,34,21,18,27,25,39,16,34,27,22,20,23,30,11,17,26,18,35,17,26,19,27,20,12,34,23,35,29,18,22,27,21,35,30,12,33,38,19,19,23,20,13,29,19,17,19,30,34,30,9,11,32,26,26,27,24,41,30,21,25,29,21,23,19,12,23,12,12,23,33,20,22,18,22,31,28,14,33,11,36,27,26,22,25,21,26,26,15,24,30,22,33,27,25,27,31,33,27,31,19,23,36,24,20,14,23,23,23,40,32,29,17,15,22,16,13,17,25,18
5921bf282a17d821bca95164,24,25,24,19,24,20,24,27,42,35,19,28,31,39,26,20,41,0,15,33,27,51,25,22,16,17,15,37,28,18,24,31,24,42,38,25,28,22,25,42,30,18,24,29,19,13,32,23,23,25,36,27,14,18,38,40,17,45,20,20,34,31,26,23,13,29,23,18,25,37,27,36,45,34,27,30,30,19,30,40,32,34,22,28,22,26,16,13,27,44,40,9,32,19,16,21,34,31,33,23,28,23,21,17,20,35,30,28,32,20,18,18,9,34,15,23,36,24,26,23,30,27,30,30,33,26,23,16,32,25,16,9,32,26,31,29,16,29,26,23,24,15,9,24,19,26,18,25,21,19,18,20,25,25,40,22,17,33,18,24,28,21,21,21,16,25,37,27,25,14,25,31,36,23,27
5921bfd82a17d821bca95165,17,18,15,10,19,19,15,18,32,27,9,18,29,30,16,14,33,19,0,26,19,42,16,16,17,18,6,27,20,11,20,22,18,34,29,16,26,20,19,32,21,8,19,19,9,3,22,16,14,15,27,18,7,11,29,30,15,35,11,13,25,22,17,15,5,20,14,10,17,28,18,26,36,28,18,20,20,11,21,32,27,24,22,18,13,17,7,4,21,35,32,10,24,9,9,13,24,21,23,14,18,14,13,16,11,26,20,26,23,12,9,11,19,25,11,19,26,14,17,13,20,17,20,20,24,19,17,9,23,16,14,8,23,20,21,23,7,20,16,19,14,7,8,15,9,24,12,16,14,11,9,12,16,21,31,12,8,26,14,15,19,13,13,13,16,18,27,17,15,6,15,21,27,15,18
5921c02cf315d421c066f618,25,27,35,34,19,31,34,38,49,24,29,31,18,50,33,22,28,28,41,0,23,53,32,24,42,43,30,39,35,23,19,38,27,29,42,36,16,10,24,44,41,31,15,31,26,28,43,30,38,35,46,38,23,26,41,46,28,46,27,27,41,41,26,40,31,39,34,25,32,26,27,43,32,33,27,40,36,29,36,29,27,39,22,39,33,37,32,23,46,51,29,32,39,29,18,26,41,30,43,34,34,34,32,29,36,23,32,15,37,26,31,24,35,45,15,18,40,34,37,30,33,35,33,33,39,33,17,22,39,36,24,23,32,45,33,47,32,40,35,18,33,32,21,31,29,13,21,40,27,26,33,37,40,20,47,32,27,35,18,35,28,26,26,26,39,32,40,33,31,24,32,33,39,27,34
5921c0472a17d821bca95167,17,18,16,20,17,27,16,19,29,12,15,12,27,31,17,13,19,25,37,25,0,34,15,15,31,32,15,19,24,14,18,21,17,20,23,17,24,18,16,24,23,17,12,11,9,15,26,20,23,17,27,19,14,14,21,26,24,27,10,17,22,30,7,26,19,19,16,13,21,14,8,23,22,25,8,22,17,18,16,18,25,20,25,22,14,18,19,12,30,31,18,24,28,12,9,13,21,10,25,15,14,15,20,24,22,12,13,24,18,16,18,15,32,26,12,16,22,16,19,12,13,17,13,13,19,23,10,13,19,17,21,18,12,28,13,31,19,22,17,16,15,18,16,12,15,22,12,26,18,15,19,23,26,18,28,14,14,26,14,16,8,13,13,13,30,22,22,14,12,12,12,13,19,15,15
5921c0f12a17d821bca95168,28,29,18,27,28,38,20,21,30,10,24,17,38,30,26,24,19,36,47,36,12,0,23,26,37,38,23,17,34,25,29,29,29,21,28,19,35,29,27,22,24,26,23,7,16,23,32,31,31,19,27,21,24,25,18,27,34,17,18,28,23,40,17,33,27,19,18,24,31,15,18,25,22,36,18,24,16,28,18,16,36,21,37,28,16,20,26,21,33,27,16,33,38,19,20,24,16,12,27,17,16,17,30,35,29,13,8,34,25,27,26,25,42,28,23,27,29,19,21,19,10,22,10,10,21,33,22,23,15,19,32,29,14,31,8,33,26,24,20,27,19,25,27,13,24,32,23,33,28,25,26,31,33,29,29,18,22,37,26,18,14,23,23,23,39,33,28,15,13,22,14,10,14,25,16
5921c1622a17d821bca95169,23,23,7,11,25,27,9,10,26,26,13,16,36,22,17,19,33,27,32,32,18,35,0,21,18,19,7,22,26,17,26,21,23,34,26,8,33,27,24,27,13,13,24,14,9,9,19,22,15,8,19,10,14,16,23,24,24,28,10,19,19,29,17,16,10,12,6,15,23,28,18,21,36,33,18,13,14,17,15,31,34,19,30,15,5,9,10,10,15,27,31,18,30,7,15,17,17,19,16,6,13,6,19,25,12,26,15,33,22,19,13,17,27,17,18,25,25,7,9,11,15,13,15,15,18,25,21,15,15,8,23,17,20,13,15,16,10,12,11,25,9,7,17,9,13,31,17,17,20,17,10,14,17,27,25,7,12,32,21,7,17,17,17,17,24,24,26,11,9,12,10,16,21,19,12
5921c2e9f315d421c066f619,15,16,23,23,10,24,23,26,37,16,18,19,19,38,21,12,22,22,35,24,12,42,20,0,33,34,19,28,25,13,11,26,16,22,30,24,16,10,13,33,29,20,4,20,14,17,31,20,27,24,34,26,14,15,30,34,21,35,15,17,29,31,14,29,21,27,22,14,21,18,15,31,25,23,15,28,24,19,24,21,19,27,19,27,21,25,22,13,35,39,21,24,29,17,8,15,29,18,31,22,22,22,21,22,25,15,21,16,25,16,20,14,30,33,7,10,28,22,25,18,21,23,21,21,27,23,6,12,27,24,17,16,20,33,21,36,22,28,23,10,21,22,14,19,18,14,10,29,17,16,22,26,29,12,35,20,16,25,10,23,16,14,14,14,31,22,28,21,19,13,20,21,27,16,22
